detector,nfeatures,ratio,ransac_thresh,RMSE,MAE,Bias,P95,N,N_in,Coverage,akaze_thresh,nOctaveLayers,contrastThreshold,edgeThreshold,sigma
SIFT,1500.0,0.7,0.5,0.04270548394952123,0.018121605508543456,-0.0021600564863414433,0.06026067794043468,36511,36505,0.5457930893008235,,3.0,0.02,10.0,1.6
SIFT,1500.0,0.7,1.0,0.04270548394952123,0.018121605508543456,-0.0021600564863414433,0.06026067794043468,36511,36505,0.5457930893008235,,3.0,0.02,10.0,1.6
SIFT,1500.0,0.7,0.5,0.042705483949521235,0.018121605508543456,-0.0021600564863414433,0.06026067794043468,36511,36505,0.5457930893008235,,3.0,0.04,10.0,1.6
SIFT,1500.0,0.7,1.0,0.042705483949521235,0.018121605508543456,-0.0021600564863414433,0.06026067794043468,36511,36505,0.5457930893008235,,3.0,0.04,10.0,1.6
AKAZE,,0.8,0.5,0.04289216858427275,0.020806525896662702,0.0015652139140495608,0.07182351343499027,58828,58826,0.5559529819044182,0.0015,,,,
AKAZE,,0.8,1.0,0.04289216858427275,0.020806525896662702,0.0015652139140495608,0.07182351343499027,58828,58826,0.5559529819044182,0.0015,,,,
ORB,1500.0,0.7,0.5,0.04509941855489125,0.028426149762061825,-0.0026725690649041537,0.08797384461356568,32655,32655,0.47854017446996155,,,,,
ORB,1500.0,0.7,1.0,0.04509941855489125,0.028426149762061825,-0.0026725690649041537,0.08797384461356568,32655,32655,0.47854017446996155,,,,,
ORB,1500.0,0.7,1.5,0.04509941855489125,0.028426149762061825,-0.0026725690649041537,0.08797384461356568,32655,32655,0.47854017446996155,,,,,
SIFT,1500.0,0.75,0.5,0.04535541975617182,0.018823854503842778,-0.0025790021827398714,0.0637831508337863,37519,37513,0.5457930893008235,,3.0,0.04,10.0,1.6
SIFT,1500.0,0.75,1.0,0.04535541975617182,0.018823854503842778,-0.0025790021827398714,0.0637831508337863,37519,37513,0.5457930893008235,,3.0,0.04,10.0,1.6
SIFT,1500.0,0.75,0.5,0.04535541975617182,0.018823854503842778,-0.002579002182739872,0.0637831508337863,37519,37513,0.5457930893008235,,3.0,0.02,10.0,1.6
SIFT,1500.0,0.75,1.0,0.04535541975617182,0.018823854503842778,-0.002579002182739872,0.0637831508337863,37519,37513,0.5457930893008235,,3.0,0.02,10.0,1.6
ORB,800.0,0.7,0.5,0.0465083436309869,0.029253092676699895,-0.003924261131112255,0.0921992555805818,17148,17148,0.4741428951665332,,,,,
ORB,800.0,0.7,1.0,0.0465083436309869,0.029253092676699895,-0.003924261131112255,0.0921992555805818,17148,17148,0.4741428951665332,,,,,
ORB,800.0,0.7,1.5,0.0465083436309869,0.029253092676699895,-0.003924261131112255,0.0921992555805818,17148,17148,0.4741428951665332,,,,,
ORB,5000.0,0.8,0.5,0.04657133891632499,0.029021713814432807,-0.0009207353733532867,0.0888104791606085,129556,129553,0.517763260351231,,,,,
ORB,5000.0,0.8,1.0,0.04657133891632499,0.029021713814432807,-0.0009207353733532867,0.0888104791606085,129556,129553,0.517763260351231,,,,,
